SAP S/4HANA;Oracle ERP Cloud;Microsoft Dynamics 365;Infor CloudSuite;Epicor ERP;NetSuite;Acumatica;QuickBooks Enterprise;Zoho One;Odoo;Sage Intacct;SAP Business One;Workday;SAP SuccessFactors;Oracle SCM Cloud;Oracle CX Cloud;;
Finanzas (FI);Gestión Financiera;Business Central;"Financieros (Libro mayor;Cuentas por pagar;Cuentas por cobrar;Gestión de efectivo)";Gestión Financiera;Gestión Financiera;Gestión Financiera;Gestión de inventarios;Ventas;Sitio Web;Libro Mayor;Financieros;Gestión de Recursos Humanos;RRHH Central y Nómina;Planificación de la Cadena de Suministro;Automatización de Marketing;;
Control (CO);Gestión de Proyectos;Finanzas;HCM;Gestión de Producción;Análisis;Contabilidad de Proyectos;Nómina;Marketing;Ventas;Cuentas por Pagar;Recursos Humanos (RRHH);Nómina;Gestión de Talentos;Gestión de Inventarios;Gestión de Campañas;;
Ventas y Distribución (SD);Adquisiciones;Gestión de la Cadena de Suministro;SCM;Gestión de Productos;Gestión de Pedidos;Gestión de Nómina;Informes;Soporte;Finanzas;Cuentas por Cobrar;Gestión de Fabricación;Administración de Beneficios;Gestión de la Fuerza Laboral;Fabricación;Lealtad y Compromiso del Cliente;;
Gestión de Materiales (MM);Gestión de Riesgos y Cumplimiento;Gestión Inteligente de Pedidos;WFM;Planificación y Programación;Adquisiciones;Contabilidad Multi-Entidad e Intercompañía;Reglas de precios;Comunicación;Inventarios y Fabricación;Nómina;Gestión de Inventarios;Reclutamiento;Gestión del Rendimiento de Ventas;Mantenimiento;Plataforma de Datos del Cliente;;
Planificación de la Producción (PP);Gestión del Rendimiento Empresarial;Comercio;CRM;Gestión de Ventas;Gestión de Producción;Informes/Paneles/Análisis de Datos;Costeo de trabajos;Colaboración;Recursos Humanos;Inventarios;Gestión de Compras;Gestión de Talentos;Employee Central;Gestión de Pedidos;Inteligencia de Comportamiento;;
Gestión de Calidad;Gestión de la Cadena de Suministro;Ventas;Gestión de Producción;Gestión de Proyectos;Gestión de Inventarios;Gestión de Relaciones con Clientes;Seguimiento de tiempo;Productividad;Marketing;Costeo de Trabajos y Proyectos;Gestión de Ventas;Seguimiento de Tiempo;Seguimiento de Tiempo;Logística;Segmentación de Audiencia;;
Mantenimiento de Planta (PM);Gestión de Capital Humano (HCM);Servicio al Cliente;Gestión de Calidad;Gestión de Capital Humano;Gestión de la Cadena de Suministro;"Fabricación (Lista de Materiales/Enrutamiento;Gestión de Producción;Planificación de Requerimientos de Materiales;Planificación y Programación Avanzada;Control de Cambios de Ingeniería;Recopilación de Datos de Fabricación;Configurador de Productos;Estimaciones de Fabricación)";Cuentas por Pagar;Finanzas;Servicios;Activos Fijos;Gestión de Servicios;Gestión de Ausencias;Nómina Central de Empleados;Gestión del Ciclo de Vida del Producto;Ventas;;
Gestión de Capital Humano (HCM);Gestión de Relaciones con Clientes (CRM);Servicio de Campo;Planificación y Programación;Gestión de Relaciones con Clientes;Gestión de Almacenes;"Construcción (Gestión de Construcción;Contratista General;Contabilidad de Constructores de Viviendas;Contabilidad de Subcontratistas;Contabilidad de Desarrolladores de Terrenos;Gestión de Servicios de Campo;Gestión de Equipos)";Cuentas por Cobrar;Operaciones;Productividad;Contabilidad y ERP;CRM;Aprendizaje;Reclutamiento;;Servicio;;
Adquisiciones;;Marketing;Gestión de Recursos;Gestión de Servicios;Software de Contabilidad;"Distribución (Gestión de Pedidos de Venta;Gestión de Pedidos de Compra;Gestión de Almacenes;Gestión de Inventarios;Software de Gestión de Pedidos;Gestión de Requisiciones)";Conciliación Bancaria;CRM;Contabilidad;Planificación;Gestión de Proyectos;Compensación;Incorporación;;Comercio;;
Cadena de Suministro;;Operaciones de Proyectos;Gestión de Materiales;;Gestión de Negocios Globales;"Comercio Minorista (Conectores de Comercio;Gestión de Inventarios;Gestión de Pedidos de Venta;Informes/Paneles/Análisis de Datos;Sistema de Gestión de Almacenes;CRM)";Libro Mayor;Bigin;Documentos;Análisis;Contabilidad y Financieros;Planificación de la Fuerza Laboral y Análisis;Aprendizaje;;Configuración de Precios y Cotizaciones;;
Fabricación;;Recursos Humanos;Gestión de Ventas y Pedidos;;Gestión del Rendimiento Empresarial;"Servicios Profesionales (Contabilidad de Proyectos;Gestión de Recursos;Gestión de Relaciones con Clientes;Gestión Financiera;Pagos;Informes/Paneles/Inteligencia Empresarial)";;Sites;Firma;Nómina y RRHH;Compras;"Financieros (Contabilidad;Cuentas por Pagar;Cuentas por Cobrar;Gestión de Efectivo/Activos;Auditoría;Análisis;Informes;Workday Adaptive Planning;Gestión de Gastos)";Rendimiento y Objetivos;;Gestión de Suscripciones;;
Ventas;;;.;;.;;.;Bookings;Panel de Control;;Inventarios;;Compensación;;Gestión de Relaciones con Socios;;
Servicios;;;;;;;.;SalesIQ;Gastos;;Ventas;;Sucesión y Desarrollo;;;;
Gestión de Activos;;;;;;;.;Campaigns;Hojas de Cálculo;;Relaciones con Clientes (CRM);;;;;;
;;;;;;;.;Social;Compras;;Informes;;;;;;
;;;;;;;.;Survey;Inventarios;;Análisis;;;;;;
;;;;;;;.;Forms;;;Inteligencia Empresarial Integrada;;;;;;
;;;;;;;.;PageSense;;;;;;;;;
;;;;;;;.;Backstage;;;;;;;;;
;;;;;;;.;Automatización de Marketing;;;;;;;;;
;;;;;;;.;Directory;;;;;;;;;
;;;;;;;.;Gestión de Aplicaciones/Dispositivos;;;;;;;;;